y,x,ran1,ran1,ran3,station,timestamp
46.317,30.6617,0,44.0,70,5,1554806902
44.332,28.671,0,49.3,89,0,1554806922
44.1535,28.6701,0,247.6,90,0,1554806937
44.7105,37.8425,0,353.0,52,0,1554806920
44.133,28.651,0.1,176.8,99,0,1554806911
46.2493,30.709,0,0.0,70,1,1554806901
44.577,38.0249,0,0.0,34,15,1554806095
44.6073,37.9127,0,123.8,80,1,1554806906
44.721,37.8142,0,229.9,79,0,1554806900
44.1151,28.6423,0,360.0,79,0,1554806883
40.8852,29.1922,0,0.0,0,15,1554806831
44.7307,37.7823,0,253.1,31,5,1554806796
44.1603,28.6587,0,360.0,52,0,1554806904
44.1594,28.6605,0,360.0,0,5,1554806908
44.1542,28.6492,0,172.0,0,5,1554806767
44.5868,37.8832,4.9,106.2,70,5,1554806922
44.1752,28.6631,0,105.1,51,5,1554806781
44.8228,29.8016,7.1,9.2,0,0,1554806401
46.5523,30.9868,9.6,251.5,80,0,1554806938
44.7284,37.8044,0,165.8,70,5,1554806779
40.7519,29.2935,7.3,103.9,38,15,1554806806
40.844,29.2474,0,106.3,0,1,1554806729
40.837,29.2269,0.1,149.4,0,1,1554806246
44.7264,37.8065,0,0.0,70,5,1554806866
40.8415,29.273,0,0.1,0,1,1554806889
40.8503,29.2872,0,0.0,0,5,1554806359
46.573,31.248,0,336.0,70,1,1554806539
40.84,29.2731,0,149.0,0,5,1554805997
40.8818,29.1838,0.2,162.4,0,15,1554806058
44.7231,37.8101,0,360.0,60,5,1554806771
44.5738,37.9438,0.1,61.3,70,1,1554806876
44.1223,36.6423,8.1,71.0,0,0,1554806086
44.7312,37.7824,0,0.0,50,15,1554806832
44.1511,28.6536,0.1,211.4,70,5,1554806945
46.5119,30.7338,0,360.0,80,5,1554806938
44.3395,28.6787,0,192.1,70,5,1554806825
44.6099,37.7227,1.1,49.6,89,0,1554806911
43.1899,27.9104,0,241.4,82,5,1554806633
40.8477,29.2893,0,346.2,0,5,1554805913
40.8501,29.2882,0,45.4,0,0,1554806862
40.8624,29.1949,0.1,114.3,0,1,1554806505
44.6707,37.8021,0,0.0,50,15,1554806801
44.0799,39.0491,0,178.5,80,1,1554806934
44.718,37.833,0,24.2,90,0,1554806907
46.2741,30.7367,0.1,346.5,79,1,1554806912
44.7231,37.8146,0,338.5,70,5,1554806941
43.1902,27.6522,0,109.8,79,5,1554806429
43.1949,27.9094,0,72.7,52,15,1554806886
44.1557,28.653,0,353.3,0,5,1554806814
44.6293,37.6125,0.1,144.0,34,0,1554806888
44.7259,37.7792,0.1,87.3,70,5,1554806822
44.0988,28.6876,0,207.9,99,1,1554806875
43.1899,27.9862,8.1,277.0,70,0,1554806937
40.7742,29.593,0,189.7,70,5,1554806256
44.5688,37.9374,0.2,355.4,89,1,1554806797
44.1482,28.6615,0,263.0,80,5,1554806669
43.1964,27.7775,0,360.0,33,5,1554806910
44.7291,37.7861,0,0.0,70,5,1554806897
44.7242,37.7965,9,310.3,50,15,1554806934
43.188,27.761,0,296.3,70,5,1554806886
40.8548,29.282,0,195.6,53,15,1554806702
40.8359,29.2791,0.1,211.7,52,15,1554806614
40.8354,29.2792,0,0.0,53,15,1554806656
46.491,30.7434,0,0.0,52,5,1554806789
44.7107,37.7851,0,360.0,37,15,1554806840
44.093,39.0628,0,348.5,70,0,1554806932
43.1881,27.6778,0,252.2,76,5,1554806633
44.0999,28.6566,0,283.3,0,5,1554806827
43.1939,27.901,0.1,138.7,70,5,1554806814
46.504,30.7308,0,311.3,71,5,1554806870
44.7284,37.7862,0.1,319.8,156,0,1554806937
40.8645,29.2628,0,119.8,0,0,1554806923
43.1903,27.9072,0,138.0,89,5,1554806826
44.7265,37.7801,0,7.8,52,15,1554806741
46.5692,31.2303,0,209.8,70,1,1554806502
44.671,37.801,0,360.0,30,7,1554806883
40.6923,29.4303,0,333.0,71,5,1554806215
40.8357,29.2665,0,0.0,0,15,1554806904
40.8156,29.2952,0,0.0,0,15,1554806442
44.0851,39.0737,0,360.0,33,3,1554806920
46.3772,30.7487,0,0.0,130,14,1554806896
40.8462,29.2227,0,0.0,0,1,1554806858
44.0414,39.0786,0.1,273.1,70,1,1554806939
44.0572,39.077,0,220.4,89,1,1554806780
44.1579,28.6501,0,0.1,70,5,1554806699
44.3417,28.6858,0,114.1,79,5,1554806786
46.4973,30.7462,0,0.0,34,15,1554806779
40.8127,29.2968,0,0.0,59,15,1554806691
44.1219,28.651,0,162.9,70,0,1554806891
44.1151,28.6428,0,333.5,20,0,1554806886
44.7333,37.7988,0,182.0,80,5,1554806877
43.1919,27.9187,7.3,123.5,52,15,1554806916
43.1962,27.9113,0,0.0,37,15,1554806873
46.4933,30.7481,0,0.0,90,0,1554806903
44.7111,37.7621,0,144.0,50,0,1554806927
40.8737,29.2412,0,0.0,84,15,1554806822
40.8226,28.9542,8.8,90.3,70,0,1554806914
43.8002,28.5712,0,205.5,70,5,1554806789
44.1054,28.6434,0,181.4,70,5,1554806768
46.5068,30.7307,0.1,241.2,70,5,1554806781
43.0446,28.1932,0,36.9,56,15,1554806783
40.7377,28.9558,1.5,38.8,80,0,1554806858
44.1097,28.7542,0,0.0,70,1,1554806900
40.854,29.2677,0,193.0,52,15,1554806653
40.7115,28.8183,9,37.0,70,0,1554806464
43.1998,27.7811,0,54.5,33,5,1554806912
40.8464,29.284,0,0.0,0,15,1554806786
44.1593,28.6605,0.1,277.1,50,12,1554806916
44.7317,37.7831,0.1,276.4,52,0,1554806939
44.1607,28.6561,0,360.0,70,8,1554806908
44.3374,28.6856,0.2,13.6,52,5,1554806768
44.3371,28.6855,0,284.4,52,0,1554806919
44.1661,28.6437,0,360.0,52,0,1554806924
44.1001,28.6584,0,360.0,52,15,1554806520
44.0838,39.0705,0,134.0,89,5,1554806804
44.0807,28.8204,13,328.8,70,0,1554806889
44.0919,39.0775,0,29.0,50,0,1554806912
40.9149,29.0889,0,0.0,111,15,1554806865
44.5704,37.8977,0.1,263.3,70,1,1554806891
40.854,29.2884,0,0.0,80,15,1554806935
46.4933,30.7366,0,358.5,80,15,1554806407
40.8479,29.2896,0.1,270.5,0,5,1554806574
40.8382,29.2725,0.1,341.6,0,0,1554806837
40.7371,29.4936,0.1,174.2,0,1,1554806395
40.8297,29.2425,0,10.7,71,1,1554806622
44.5816,37.9376,0.1,67.1,70,1,1554806873
40.8411,29.2109,0,154.7,0,1,1554806867
44.1152,28.7383,0.2,225.4,70,1,1554806869
43.1383,28.2693,0,360.0,70,1,1554806823
40.7252,29.4909,0,302.1,0,5,1554806678
44.1164,28.6473,5.5,357.8,99,5,1554806932
43.1937,27.9073,0,0.0,52,5,1554806769
44.7277,37.7993,7.1,242.0,69,0,1554806844
40.6939,29.4475,0.4,178.0,60,0,1554806269
43.1887,27.757,0,330.2,33,5,1554806927
44.1488,28.6686,5.4,138.8,99,0,1554806925
40.7062,29.4666,0.1,183.2,0,0,1554806255
44.1151,28.6418,0,0.0,52,15,1554806500
40.8555,29.2682,0,348.0,52,15,1554806380
44.0968,28.6507,0,131.8,90,0,1554806885
44.1072,28.6551,0,14.4,70,0,1554806905
44.6292,37.6124,0.1,352.8,52,0,1554805959
46.3103,30.774,8.8,269.0,71,0,1554806133
44.1538,28.6699,0,155.0,52,0,1554806920
44.7182,37.7867,0,223.0,0,15,1554806939
46.3619,31.005,0,10.3,70,1,1554806923
44.1248,28.6442,0.2,50.1,79,0,1554806917
44.1524,28.6643,5.4,305.1,90,1,1554806883
43.1947,27.9093,0,121.6,52,15,1554806488
44.2685,28.5538,0,360.0,79,8,1554806934
40.9729,28.9403,0,313.4,70,1,1554806339
40.872,29.2362,0.1,360.0,37,15,1554806651
44.7307,37.7831,0,296.8,50,15,1554806931
44.1657,28.6576,0,306.6,70,5,1554806856
44.3317,28.6601,0.1,186.2,37,5,1554806605
